gamble_type,gamble_id,outcome_a1,outcome_a2,prob_a1,prob_a2,outcome_b1,outcome_b2,prob_b1,prob_b2,ev_a,ev_b,ev_difference,std_a,std_b,std_difference,skew_a,skew_b,skew_difference,dominated_lottery
representative,39,18,48,0.64,0.36,6,86,0.63,0.37,28.8,35.6,6.8,14.4,38.62434465,24.22434465,0.583333333,0.538520464,-0.044812869,0
representative,40,34,16,0.31,0.69,4,80,0.65,0.35,21.58,30.6,9.02,8.324878377,36.24968965,27.92481128,0.821633625,0.628970902,-0.192662723,0
representative,41,23,26,0.48,0.52,68,1,0.49,0.51,24.56,33.83,9.27,1.49879952,33.49329933,31.99449981,-0.080064077,0.040008002,0.120072079,0
representative,42,42,64,0.38,0.62,3,98,0.37,0.63,55.64,62.85,7.21,10.67850177,45.86640928,35.18790751,-0.494451386,-0.538520464,-0.044069078,0
representative,43,60,10,0.66,0.34,83,1,0.68,0.32,43,56.76,13.76,23.68543856,38.25104443,14.56560587,-0.675520529,-0.805872657,-0.130352128,0
representative,44,58,13,0.64,0.36,3,86,0.38,0.62,41.8,54.46,12.66,21.6,40.28707485,18.68707485,-0.583333333,-0.494451386,0.088881947,0
representative,45,54,10,0.42,0.58,91,3,0.48,0.52,28.48,45.24,16.76,21.71657432,43.96478591,22.24821159,0.324176359,0.080064077,-0.244112282,0
representative,46,9,33,0.65,0.35,1,83,0.63,0.37,17.4,31.34,13.94,11.44727042,39.58995327,28.14268285,0.628970902,0.538520464,-0.090450438,0
representative,47,28,36,0.35,0.65,6,76,0.41,0.59,33.2,47.3,14.1,3.815756806,34.42833136,30.61257455,-0.628970902,-0.365977656,0.262993246,0
representative,48,12,25,0.7,0.3,2,95,0.65,0.35,15.9,34.55,18.65,5.957348403,44.35817287,38.40082446,0.872871561,0.628970902,-0.243900659,0
representative,49,9,68,0.33,0.67,1,95,0.28,0.72,48.53,68.68,20.15,27.74255035,42.20589532,14.46334497,-0.723076997,-0.979957887,-0.25688089,0
representative,50,62,8,0.7,0.3,1,97,0.3,0.7,45.8,68.2,22.4,24.74590875,43.99272667,19.24681792,-0.872871561,-0.872871561,2.11E-15,0
representative,51,42,13,0.61,0.39,80,1,0.65,0.35,30.69,52.35,21.66,14.14474814,37.68059846,23.53585031,-0.451050802,-0.628970902,-0.1779201,0
representative,52,17,40,0.34,0.66,83,1,0.63,0.37,32.18,52.66,20.48,10.89530174,39.58995327,28.69465153,-0.659425226,-0.538520464,0.120904762,0
representative,53,25,42,0.26,0.74,1,88,0.3,0.7,37.58,61.9,24.32,7.456782148,39.86840855,32.4116264,-1.094305806,-0.872871561,0.221434245,0
representative,54,32,20,0.62,0.38,89,1,0.61,0.39,27.44,54.68,27.24,5.824637328,42.92199436,37.09735703,-0.494451386,-0.451050802,0.043400584,0
representative,55,46,23,0.45,0.55,26,3,0.41,0.59,33.35,12.43,20.92,11.442,11.312,0.13,0.201,0.366,-0.165,1
representative,56,35,11,0.41,0.59,55,31,0.45,0.55,20.84,41.8,-20.96,11.804,11.94,-0.136,0.366,0.201,0.165,1
